created_at,raw_text,likes_count,reply_count,source,is_spam,clean_text,normalized_text,final_text,text_length,word_count,clean_text_length,clean_word_count
2026-03-22T22:25:43.000Z,siapa yg setuju MBG distop?,3942,69.0,tiktok,False,setuju makan bergizi gratis distop?,siapa yg setuju makan bergizi gratis distop?,setuju makan bergizi gratis distop?,27.0,5.0,35,5
2026-03-22T14:01:13.000Z,"Susah sekali bapak Presiden ini di kritiknya, padahal banyak sekali masyarakat dan tokoh nasional minta di hentikan program MBG nya tuuk di evaluasi",2816,68.0,tiktok,False,"susah presiden kritiknya, masyarakat tokoh nasional hentikan program makan bergizi gratis nya tuuk evaluasi","susah sekali bapak presiden ini di kritiknya, padahal banyak sekali masyarakat dan tokoh nasional minta di hentikan program makan bergizi gratis nya tuuk di evaluasi","susah presiden kritiknya, masyarakat tokoh nasional hentikan program makan bergizi gratis nya tuuk evaluasi",148.0,23.0,107,14
2026-03-22T13:19:14.000Z,"hentikan aj pak mending dialihkan ke program beasiswa kuliah gratis 🙏",1999,60.0,tiktok,False,hentikan mending dialihkan program beasiswa kuliah gratis,hentikan saja pak mending dialihkan ke program beasiswa kuliah gratis,hentikan mending dialihkan program beasiswa kuliah gratis,69.0,11.0,57,7
2026-03-22T15:12:08.000Z,Kepala keras sekali,421,29.0,tiktok,False,kepala keras,kepala keras sekali,kepala keras,19.0,3.0,12,2
2026-03-22T14:54:57.000Z,cukup satu periode,1022,56.0,tiktok,False,periode,cukup satu periode,periode,18.0,3.0,7,1
2026-03-23T00:56:54.000Z,di pikir mbg tdk ada yg korupsi,712,22.0,tiktok,False,pikir makan bergizi gratis tdk korupsi,di pikir makan bergizi gratis tdk ada yg korupsi,pikir makan bergizi gratis tdk korupsi,31.0,7.0,38,6
2026-03-22T14:46:36.000Z,lebih baik pendidikan dan kesehatan gratis .,313,18.0,tiktok,False,baik pendidikan kesehatan gratis .,lebih baik pendidikan dan kesehatan gratis .,baik pendidikan kesehatan gratis .,44.0,7.0,34,5
2026-03-23T12:23:47.000Z,"Apa bapak yakin, klw MBG bukan korupsi yg terstruktur?",113,7.0,tiktok,False,"yakin, makan bergizi gratis bukan korupsi terstruktur?","apa bapak yakin, kalau makan bergizi gratis bukan korupsi yg terstruktur?","yakin, makan bergizi gratis bukan korupsi terstruktur?",54.0,9.0,54,7
2026-03-22T14:44:41.000Z,"klo kamu tulus bantu rakyat,, pendidikan gratis,,",182,12.0,tiktok,False,"tulus bantu rakyat,, pendidikan gratis,,","klo kamu tulus bantu rakyat,, pendidikan gratis,,","tulus bantu rakyat,, pendidikan gratis,,",49.0,7.0,40,5
2026-03-23T22:41:39.000Z,Segitunya membela MBG pak presiden,4,2.0,tiktok,False,segitunya membela makan bergizi gratis presiden,segitunya membela makan bergizi gratis pak presiden,segitunya membela makan bergizi gratis presiden,34.0,5.0,47,6
2026-03-22T22:41:59.000Z,anda pikir di mbg bersih tanpa ada korupsi?tolong dicek lagi ya pak,22,0.0,tiktok,False,pikir makan bergizi gratis bersih korupsi?tolong dicek iya,anda pikir di makan bergizi gratis bersih tanpa ada korupsi?tolong dicek lagi iya pak,pikir makan bergizi gratis bersih korupsi?tolong dicek iya,67.0,12.0,58,8
2026-03-22T23:30:21.000Z,makan mulu pikiran sampean pak,18,0.0,tiktok,False,makan mulu pikiran sampean,makan mulu pikiran sampean pak,makan mulu pikiran sampean,30.0,5.0,26,4
2026-03-24T00:52:47.000Z,"pdahal sudah bnyak masyarakat yg protes, tpi ga di denger",7,0.0,tiktok,False,"pdahal bnyak masyarakat protes, tpi tidak denger","pdahal sudah bnyak masyarakat yg protes, tpi tidak di denger","pdahal bnyak masyarakat protes, tpi tidak denger",57.0,10.0,48,7
2026-03-22T14:11:32.000Z,"Proyeknya beliau, tidak mungkin beliau menghentikan MBG😅",1006,27.0,tiktok,False,"proyeknya beliau, tidak mungkin beliau menghentikan makan bergizi gratis","proyeknya beliau, tidak mungkin beliau menghentikan makan bergizi gratis","proyeknya beliau, tidak mungkin beliau menghentikan makan bergizi gratis",56.0,7.0,72,9
2026-03-23T02:15:13.000Z,presiden yg gk mau d kritik,28,2.0,tiktok,False,presiden gk d kritik,presiden yg gk mau d kritik,presiden gk d kritik,27.0,6.0,20,4
2026-03-22T22:53:12.000Z,mungkin beliau malu kalo program nya gagal,14,0.0,tiktok,False,mungkin beliau malu program nya gagal,mungkin beliau malu kalau program nya gagal,mungkin beliau malu program nya gagal,42.0,7.0,37,6
2026-03-22T22:37:50.000Z,dia gak sadar juga,55,2.0,tiktok,False,tidak sadar,dia tidak sadar juga,tidak sadar,18.0,4.0,11,2
2026-03-22T14:48:21.000Z,stop MBG pak,53,3.0,tiktok,False,stop makan bergizi gratis,stop makan bergizi gratis pak,stop makan bergizi gratis,12.0,3.0,25,4
2026-03-23T01:42:15.000Z,stres mikiran pemerintah,7,0.0,tiktok,False,stres mikiran pemerintah,stres mikiran pemerintah,stres mikiran pemerintah,24.0,3.0,24,3
2026-03-23T00:30:45.000Z,cukup satu periode,24,1.0,tiktok,False,periode,cukup satu periode,periode,18.0,3.0,7,1
2026-03-22T14:54:52.000Z,bapak masih engak sadar pak,10,0.0,tiktok,False,engak sadar,bapak masih engak sadar pak,engak sadar,27.0,5.0,11,2
2026-03-22T15:22:39.000Z,angel.. angel,3,0.0,tiktok,False,angel.. angel,angel.. angel,angel.. angel,13.0,2.0,13,2
2026-03-23T01:16:08.000Z,bosan..bosan.. pidato nya tidak ada yg nyata,7,0.0,tiktok,False,bosan..bosan.. pidato nya tidak nyata,bosan..bosan.. pidato nya tidak ada yg nyata,bosan..bosan.. pidato nya tidak nyata,44.0,7.0,37,5
2026-03-22T13:44:13.000Z,MBG khusus daerah 3T aja pak.. mgkn lbh membutuhkan,670,46.0,tiktok,False,makan bergizi gratis khusus daerah t pak.. mgkn membutuhkan,makan bergizi gratis khusus daerah t aja pak.. mgkn lebih membutuhkan,makan bergizi gratis khusus daerah t pak.. mgkn membutuhkan,51.0,9.0,59,9
